觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
10,1015.8,1016.9,1017.5,2023/3/10 08:44,1014.2,2023/3/10 15:00,22.1,26.9,2023/3/10 13:45,17.2,2023/3/10 05:50,14.5,63,41,2023/3/10 10:55,2,250,8.1,280,2023/3/10 14:32,0,0,0,...,0,...,10.4,87.9,22.64,...,...,8,2023/3/10 13:00,...
11,1016.7,1017.8,1018.2,2023/3/11 08:21,1015.3,2023/3/11 16:09,22.8,28.1,2023/3/11 13:11,19.1,2023/3/11 05:33,15.9,66,47,2023/3/11 12:54,1.8,300,8.6,290,2023/3/11 14:48,0,0,0,...,0,...,10.3,86.9,21.85,...,...,8,2023/3/11 13:00,...
12,1016.6,1017.7,1018.1,2023/3/12 22:47,1014.8,2023/3/12 15:27,22.1,28,2023/3/12 14:07,18.1,2023/3/12 06:31,15.5,69,34,2023/3/12 13:27,2.9,360,10.7,360,2023/3/12 21:30,0,0,0,...,0,...,9.6,80.8,20.14,...,...,7,2023/3/12 12:00,...
13,1016.7,1017.8,1018.5,2023/3/13 08:34,1014.6,2023/3/13 14:55,19,24.7,2023/3/13 15:10,15.5,2023/3/13 04:00,12.4,66,48,2023/3/13 15:10,3.7,360,10.3,10,2023/3/13 17:32,0,0,0,...,0,...,4.8,40.3,16.29,...,...,7,2023/3/13 12:00,...
14,1014.7,1015.8,1016.4,2023/3/14 09:09,1012.2,2023/3/14 15:08,20.3,26.6,2023/3/14 13:45,16.1,2023/3/14 02:44,13.7,67,43,2023/3/14 13:45,2.4,350,8.2,290,2023/3/14 14:23,0,0,0,...,0,...,8.1,67.9,21.15,...,...,7,2023/3/14 13:00,...
15,1015.8,1016.9,1017.6,2023/3/15 21:31,1013.8,2023/3/15 15:01,21.9,27.4,2023/3/15 12:21,17.3,2023/3/15 06:26,15.8,71,39,2023/3/15 14:14,2.8,360,9.1,320,2023/3/15 12:58,0,0,0,...,0,...,9.7,81.2,20.52,...,...,7,2023/3/15 12:00,...
16,1017,1018.1,1018.8,2023/3/16 09:53,1015.2,2023/3/16 15:25,22.4,28.6,2023/3/16 12:57,18.2,2023/3/16 06:03,17.9,77,48,2023/3/16 11:28,2.8,360,8.9,290,2023/3/16 15:14,0,0,0,...,0,...,8.9,74.4,19.03,...,...,6,2023/3/16 13:00,...
17,1015.2,1016.3,1018,2023/3/17 00:01,1012.9,2023/3/17 15:18,22.9,28.3,2023/3/17 13:34,19.4,2023/3/17 06:14,18.3,77,48,2023/3/17 12:03,3,360,9.8,300,2023/3/17 12:52,0,0,0,...,0,...,9.9,82.6,20.36,...,...,6,2023/3/17 12:00,...
18,1014.3,1015.4,1015.6,2023/3/18 07:50,1012.4,2023/3/18 14:48,22.5,28.5,2023/3/18 13:33,19.4,2023/3/18 05:36,17.8,76,52,2023/3/18 11:40,3.4,10,10.8,340,2023/3/18 16:50,0,0,0,...,0,...,8,66.6,18.95,...,...,7,2023/3/18 12:00,...
19,1013.8,1014.9,1016.1,2023/3/19 07:43,1011.1,2023/3/19 16:35,22.2,27.8,2023/3/19 12:35,18.2,2023/3/19 06:00,17.7,76,54,2023/3/19 11:20,3.9,360,9.5,320,2023/3/19 15:40,0,0,0,...,0,...,10.1,83.9,19.96,...,...,7,2023/3/19 12:00,...
20,1010.9,1012,1013.5,2023/3/20 00:01,1008.8,2023/3/20 15:57,24,29.7,2023/3/20 11:58,20.2,2023/3/20 02:23,19,75,47,2023/3/20 13:55,2.1,350,8,280,2023/3/20 15:40,0,0,0,...,0,...,9.8,81.3,20.44,...,...,7,2023/3/20 13:00,...
21,1009,1010.1,1010.5,2023/3/21 08:54,1007,2023/3/21 17:13,25,29.9,2023/3/21 11:48,21.5,2023/3/21 03:34,20.9,79,58,2023/3/21 11:49,2,260,8.7,270,2023/3/21 12:49,0,0,0,...,0,...,9.5,78.6,19.76,...,...,7,2023/3/21 13:00,...
22,1008.4,1009.5,1010.1,2023/3/22 09:39,1006.9,2023/3/22 14:46,25.5,29.9,2023/3/22 11:13,22.5,2023/3/22 06:15,21.4,79,47,2023/3/22 15:30,2.3,240,8.8,260,2023/3/22 13:24,0,0,0,...,0,...,10.8,89.2,21.9,...,...,8,2023/3/22 13:00,...
23,1009.8,1010.9,1011.4,2023/3/23 19:21,1008.1,2023/3/23 02:57,25.2,30.1,2023/3/23 11:57,22,2023/3/23 05:01,21,79,56,2023/3/23 11:58,2.2,260,8.3,260,2023/3/23 12:14,0,0,0,...,0,...,9.4,77.5,22.58,...,...,10,2023/3/23 13:00,...
24,1012.2,1013.3,1014,2023/3/24 22:26,1010.3,2023/3/24 02:33,26,32,2023/3/24 12:11,21.4,2023/3/24 05:29,19.5,70,44,2023/3/24 13:26,2.6,340,10.5,320,2023/3/24 14:21,0,0,0,...,0,...,10.3,84.8,21.56,...,...,8,2023/3/24 13:00,...
25,1012.4,1013.5,1013.8,2023/3/25 19:44,1010.2,2023/3/25 14:52,24,31,2023/3/25 13:39,20.5,2023/3/25 20:25,19.7,79,51,2023/3/25 13:40,3.7,10,13.1,350,2023/3/25 18:40,T,0.2,T,2023/3/25 19:42,T,2023/3/25 19:42,8.8,72.3,21.54,...,...,8,2023/3/25 13:00,...
26,1012.8,1013.9,1015.3,2023/3/26 23:56,1011.1,2023/3/26 15:32,21.5,27,2023/3/26 10:10,18,2023/3/26 23:28,18.1,82,51,2023/3/26 10:53,3.4,10,14.5,330,2023/3/26 11:39,0.5,0.9,0.5,2023/3/26 15:03,0.5,2023/3/26 15:03,0.1,0.8,4.14,...,...,2,2023/3/26 10:00,...
27,1014.2,1015.3,1016.1,2023/3/27 23:47,1012.3,2023/3/27 15:08,20.4,27,2023/3/27 12:02,16.9,2023/3/27 05:20,16.1,78,54,2023/3/27 12:41,3.9,360,10,360,2023/3/27 16:33,0,0,0,...,0,...,4.2,34.4,14.78,...,...,5,2023/3/27 11:00,...
28,1015.4,1016.5,1017.6,2023/3/28 09:13,1013.3,2023/3/28 15:18,21.2,28.3,2023/3/28 14:05,16.7,2023/3/28 05:11,17.1,79,52,2023/3/28 13:21,4.3,360,11.5,330,2023/3/28 14:38,T,0.3,T,2023/3/28 02:01,T,2023/3/28 02:01,8.6,70.2,21.36,...,...,8,2023/3/28 12:00,...
29,1013.3,1014.4,1014.8,2023/3/29 00:01,1011.4,2023/3/29 16:24,21.5,25.8,2023/3/29 10:11,18.5,2023/3/29 06:03,19,86,65,2023/3/29 10:11,3.9,360,11.5,350,2023/3/29 13:17,0,0,0,...,0,...,2.9,23.6,11.25,...,...,3,2023/3/29 11:00,...
30,1010.5,1011.6,1012.8,2023/3/30 00:01,1008.2,2023/3/30 14:09,22.9,29.7,2023/3/30 12:09,19.4,2023/3/30 03:59,18.9,80,52,2023/3/30 11:54,4.1,360,11.9,20,2023/3/30 17:14,0,0,0,...,0,...,8.5,69.2,20.32,...,...,7,2023/3/30 13:00,...
